CU_NAME,TOTAL ASSETS,TOTAL AMOUNT OF SHARES AND DEPOSITS,NO OF MEMBERS,Money Market (Amount),Number of Used Vehicle Loans,Amount of Total Share Draft,Deliquent Credit card loans (Amount) 0-180,Total number of loans and leases,Total amount of loans and leases,TOTAL AMOUNT OF SHARES,Amount of new vehicle loans,Total Number of money market shares,Amount of Used Vehicle Loans,Number of Total Share Draft,Number of new Vehicle loans,Deliquent Credit card loans (Amount) 180+,Year,Quarter
Credit union,178205341,4710594587,260593,338950281,0,264389305,0,161774,5101342303,4647699403,716007,11215,0,0,20567,0,2023,4
State Credit Union average,354919263.4,204365698.9,15839,37729353.47,0,33967837.1,0,9469.353698,168478374.3,203073541.2,27119.36013,1543.610932,0,0,804.266881,0,2023,4
Peer Credit Union average,385575537.4,2220303167,158572,417040193.2,0,435972681.1,0,92585.1269,1939418337,2187985009,411434.7917,12317.82345,0,0,8654.573793,0,2023,4
Credit union,5764666425,4591257240,258777,368467764,48107,275384789,5961856,162079,5079873566,3910283939,530815688,11566,830252693,145357,20774,808262,2023,3
State Credit Union average,230468385.8,199215103.9,15343,40987807.01,2330.367273,33848432.84,179595.4291,9376.389091,163100207,183198811.4,18232062.81,1678.650909,37622796.15,9056.68,812.6727273,7443.676364,2023,3
Peer Credit Union average,2452642508,2044993957,142604,399642567.3,22321.95342,412618330.5,1300250.958,83022.80901,1788893624,1861023285,191402938.6,11224.59472,353588373.9,87531.64441,8269.967391,48007.27174,2023,3
Credit union,5808949382,4732794128,256528,411214128,48523,279773615,5456201,161753,5056441243,3872979419,529846300,11898,823751147,143840,20904,667680,2023,2
State Credit Union average,243747380.8,210631809,16206,40367052.74,2442.967626,36167366.32,148703.2014,9874,170632740.9,190766296.6,18401166.59,1610.190647,38402316.38,9291.233813,842.4928058,6838.438849,2023,2
Peer Credit Union average,2656828143,2234249556,157784,442707960.8,22845.03226,453376342.6,2162236.86,92950,1908179062,2010489275,203017603.3,11814.95392,364871812.5,100733.8894,8481.632873,56372.08756,2023,2
Credit union,5737101829,4764614642,254661,466413970,48848,285846515,4851227,165100,4987090170,3888471676,524609511,12206,818384217,142551,20947,657184,2023,1
